Property Name,Default Value,Opinion,Comment
String outputDir,"""launch4j""",${output} + ${nameOfExeSpec},This is the plugin's working path relative to $buildDir. Use the distribution plugin or a custom implementation to copy necessary files to an output resolve instead of adjusting this property.
String libraryDir,"""lib""",will continue to use lib,
Object copyConfigurable,,,
Set<String> classpath,[],,Use this property to override the classpath or configure it on you own if the copyConfigurable does not provide the results you want
String xmlFileName,"""launch4j.xml""",will not use,
String mainClassName,,"will attempt to grab from application plugin's ""run"" task ""main"" property.  Otherwise will use a project property ""mainClassName"".  TODO could also look for an extension",
boolean dontWrapJar,FALSE,Default is false to create a fat exe.  True to create a slim exe.,
String headerType,"""gui""","Default is ""console"".  Otherwise it is ""gui"".  Gui apps will display in the taskbar.",
String jar,"""lib/""+project.tasks[jar].archiveName or","The jar that the executable will point to.  Defaults to the arhive name from the ""jar"" task.  Or if ""bootJar"" is available.",
,""""", if the JavaPlugin is not loaded",,
String outfile,project.name+'.exe',"use this default, unless told otherwise.",
String errTitle,"""""",will not use,
String cmdLine,"""""",will not use,
String chdir,'.',will not use,
String priority,'normal',will not use,
String downloadUrl,"""http://java.com/download""",will not use,
String supportUrl,"""""",will use empty default value here…,
boolean stayAlive,FALSE,default will be true.  This will keep the process visible in the task manager.,
boolean restartOnCrash,FALSE,use default,
String manifest,"""""",opinion: ${projectDir}/exe/manifest.manifest,
String icon,"""""",opinion: ${projectDir}/exe/icon.ico,"A relative path from the outfile or an absolute path to the icon file. If you are uncertain use ""${projectDir}/path/to/icon.ico"""
String version,project.version,use default,
String textVersion,project.version,use default,
String copyright,"""unknown""",use default,
String companyName,"""""",use default,
String description,project.name,use defaut,deprecated use fileDescription instead
String fileDescription,project.name,use default,
String productName,project.name,use default,
String internalName,project.name,use default,
String trademarks,,""""" by default",
String language,"""ENGLISH_US""",use default,
String opt,"""""",use default,deprecated use jvmOptions instead
Set<String> jvmOptions,[ ],use default,
String bundledJrePath,,use default,
boolean bundledJre64Bit,FALSE,use default,
boolean bundledJreAsFallback,FALSE,use default,
String jreMinVersion,project.targetCompatibility or,use default,
,"the current java version,",,
,if the property is not set,,
String jreMaxVersion,,use default,
String jdkPreference,"""preferJre""",use default,
String jreRuntimeBits,"""64/32""",use default,
Set<String> variables,[ ],use default,
String mutexName,,use default,
String windowTitle,,use default,
String messagesStartupError,,use default,
String messagesBundledJreError,,use default,
String messagesJreVersionError,,use default,
String messagesLauncherError,,use default,
String messagesInstanceAlreadyExists,,use default,
Integer initialHeapSize,,use default,
Integer initialHeapPercent,,use default,
Integer maxHeapSize,,use default,
Integer maxHeapPercent,,use default,
String splashFileName,,opinion: ${projectDir}/exe/splash.bmp,A relative path from the outfile or an absolute path to the bmp splash file.
boolean splashWaitForWindows,TRUE,use default,
Integer splashTimeout,60,use default,
boolean splashTimeoutError,TRUE,use default,
,,,
